,watermelon,apple,banana,avovado,nutrient unit
water,"4,130.00",83.6,75.3,73.2,g
energy,"1,360.00",65,98,160,kcal
protein,27.6,0.15,0.74,670,g
fat,6.78,0.16,0.29,14.7,g
ash,11.3,0.43,0.7,1.58,g
carb,341,15.6,23,8.53,g
fiber,18.1,2.1,1.7,6.7,g
sugars,280,13.3,15.8,0.66,g
sucrose,54.7,1.7,4.18,0.06,g
glucose,71.4,3.04,5.55,0.37,g
calcium,316,6,5,12,mg
iron,10.8,0.02,0.4,0.55,mg
magnesium,452,4.7,28,29,mg
phosphorus,497,10,22,52,mg
potassium,5060,104,326,485,mg
sodium,45.2,1,4,7,mg
zinc,4.52,0.02,0.16,0.64,mg
copper,1.9,0.033,0.101,0.19,mg
manganese,1.72,0.033,0.258,0.142,mg
selenium,18.1,0,2.5,0.4,ug
VC,366,5.7,12.3,10,mg
VB,2.03,0.045,0.209,0.257,mg
VA,1270,2,1,7,ug
VD,0,0,0,0,ug
VK,4.52,1,0.1,21,ug
caffeine,0,0,0,0,mg
alcohol,0,0,0,0,mg
